Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	125	147
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	5	16
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	269	202
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	173	134
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	127	161
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	53	51
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	86	109
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	52	43
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	284	222
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	6	15
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	128	130
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	116	79
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	140	156
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	102	172
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	10	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
