Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-10-0-4-0-2-0-2-0-2-0-1-0-2-0-0	2	1
A	HLA-Aw0-0-20-0-27-0-6-0-10-0-12-0-3-0-4-0-0	0	1
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-16-0-1-0-5-0-0	0	4
C	HLA-Cw0-0-13-0-11-0-14-0-7-0-8-0-7-0-7-0-0	0	1
C	HLA-Cw0-0-3-0-2-0-19-0-2-0-4-0-12-0-1-0-0	4	2
C	HLA-Cw0-0-5-0-8-0-10-0-1-0-1-0-1-0-1-0-0	1	0
C	HLA-Cw0-0-8-0-14-0-11-0-2-0-2-0-1-0-1-0-0	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3	2
B	HLA-Bw0-0-1-0-24-0-1-0-1-0-1-0-1-0-0	1	1
B	HLA-Bw0-0-10-0-26-0-9-0-3-0-7-0-1-0-0	3	1
B	HLA-Bw0-0-13-0-29-0-2-0-1-0-2-0-2-0-0	2	5
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-24-0-1-0-0	4	5
B	HLA-Bw0-0-16-0-33-0-23-0-6-0-13-0-11-0-0	3	3
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-26-0-1-0-0	2	1
B	HLA-Bw0-0-18-0-41-0-28-0-9-0-27-0-14-0-0	0	1
B	HLA-Bw0-0-2-0-24-0-32-0-1-0-5-0-4-0-0	1	0
B	HLA-Bw0-0-7-0-8-0-6-0-3-0-66-0-1-0-0	1	0
B	HLA-Bw0-0-8-0-11-0-6-0-3-0-9-0-1-0-0	0	1
B	HLA-Bw0-0-9-0-18-0-12-0-2-0-12-0-1-0-0	1	0
DRB1	HLA-DRB1w0-0-109-0-13-0-18-0-2-0-3-0-0	1	0
DRB1	HLA-DRB1w0-0-13-0-16-0-20-0-3-0-6-0-0	5	4
DRB1	HLA-DRB1w0-0-18-0-20-0-22-0-5-0-10-0-0	2	3
DRB1	HLA-DRB1w0-0-25-0-27-0-25-0-8-0-3-0-0	2	0
DRB1	HLA-DRB1w0-0-39-0-47-0-33-0-13-0-21-0-0	4	1
DRB1	HLA-DRB1w0-0-99-0-951-0-23-0-6-0-11-0-0	3	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-20-0-5-0-4-0-3-0-13-0-0	3	0
DQB1	HLA-DQB1w0-0-3-0-4-0-17-0-3-0-3-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-18-0-0	0	1
DPB1	HLA-DPB1w0-0-17-0-1861-0-805-0-4-0-0	1	0
DPB1	HLA-DPB1w0-0-5-0-1877-0-806-0-1-0-0	6	4
DPB1	HLA-DPB1w0-0-56-0-4-0-3-0-2-0-0	3	3
DPB1	HLA-DPB1w0-0-64-0-1908-0-3-0-2-0-0	3	7
DPB1	HLA-DPB1w0-0-69-0-1916-0-812-0-1-0-0	0	1
DPB1	HLA-DPB1w0-0-7-0-8-0-2-0-1-0-0	0	1
