Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	1.28	1.02	1.61	0.027893	*
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-3-0-1-0	1.35	1.02	1.77	0.028144	*
A	HLA-Aw0-5-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0.67	0.53	0.84	0.00049247	*
A	HLA-Aw0-6-0-0-0-0-0-16-0-6-0-2-0-1-0-1-0	1.37	0.6	3.19	0.41572	NS
A	HLA-Aw0-6-0-0-0-0-0-16-0-7-0-2-0-1-0-1-0	1.32	0.94	1.84	0.092621	NS
A	HLA-Aw0-7-0-0-0-0-0-21-0-8-0-2-0-2-0-1-0	0.95	0.63	1.41	0.77505	NS
A	HLA-Aw0-7-0-0-0-0-0-30-0-3-0-2-0-1-0-1-0	0.95	0.55	1.65	0.85169	NS
A	HLA-Aw0-8-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	0.87	0.52	1.47	0.5871	NS
A	HLA-Aw0-8-0-0-0-0-0-10-0-9-0-2-0-2-0-1-0	0.53	0.28	0.95	0.023906	*
A	HLA-Aw0-8-0-0-0-0-0-23-0-9-0-2-0-2-0-1-0	0.82	0.47	1.44	0.46705	NS
A	HLA-Aw0-8-0-0-0-0-0-26-0-9-0-2-0-2-0-1-0	0.28	0.05	1.05	0.034769	*
A	binned	2.56	0.42	26.93	0.24528	NS
C	HLA-Cw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-3-0-1-0-1-0-1-0	1.04	0.79	1.37	0.76116	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-4-0-1-0-1-0-1-0	0.81	0.59	1.12	0.18436	NS
C	HLA-Cw0-1-0-0-0-0-0-21-0-1-0-1-0-1-0-1-0	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw0-1-0-0-0-0-0-24-0-10-0-1-0-1-0-1-0	0.69	0.38	1.24	0.18967	NS
C	HLA-Cw0-1-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.89	0.27	2.83	0.8244	NS
C	HLA-Cw0-4-0-0-0-0-0-3-0-2-0-1-0-1-0-1-0	0.8	0.49	1.3	0.33518	NS
C	HLA-Cw0-4-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.82	0.4	1.65	0.55093	NS
C	HLA-Cw0-5-0-0-0-0-0-6-0-1-0-1-0-1-0-1-0	0.67	0.48	0.91	0.0087709	*
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-1-0	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw0-7-0-0-0-0-0-15-0-7-0-1-0-3-0-1-0	1.64	1.33	2.03	1.7555e-06	*
C	HLA-Cw0-9-0-0-0-0-0-25-0-11-0-1-0-1-0-1-0	2.58	0.94	8.15	0.043275	*
C	binned	0.39	0.11	1.17	0.063611	NS
B	HLA-Bw0-1-0-0-0-0-0-1-0-1-0-1-0-0-0	1.98	1.49	2.63	7.1564e-07	*
B	HLA-Bw0-1-0-0-0-0-0-3-0-3-0-1-0-0-0	1.38	1	1.91	0.042198	*
B	HLA-Bw0-1-0-0-0-0-0-6-0-5-0-1-0-0-0	0.7	0.47	1.05	0.069081	NS
B	HLA-Bw0-10-0-0-0-0-0-3-0-3-0-1-0-0-0	2.58	0.94	8.15	0.043275	*
B	HLA-Bw0-10-0-0-0-0-0-7-0-6-0-1-0-0-0	1.26	0.72	2.19	0.387	NS
