Locus	Allele	Group.0	Group.1
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	0.2327	0.27981
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-3-0-1-0	0.13723	0.1764
A	HLA-Aw0-11-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	0	0.00122
A	HLA-Aw0-43-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0	0.00243
A	HLA-Aw0-5-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0.28162	0.20803
A	HLA-Aw0-5-0-0-0-0-0-50-0-3-0-2-0-1-0-1-0	0	0.00122
A	HLA-Aw0-6-0-0-0-0-0-16-0-6-0-2-0-1-0-1-0	0.01432	0.01946
A	HLA-Aw0-6-0-0-0-0-0-16-0-7-0-2-0-1-0-1-0	0.08831	0.11314
A	HLA-Aw0-7-0-0-0-0-0-21-0-8-0-2-0-2-0-1-0	0.06921	0.06569
A	HLA-Aw0-7-0-0-0-0-0-30-0-3-0-2-0-1-0-1-0	0.03699	0.03528
A	HLA-Aw0-7-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0.00239	0.00122
A	HLA-Aw0-8-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	0.04296	0.03771
A	HLA-Aw0-8-0-0-0-0-0-10-0-9-0-2-0-2-0-1-0	0.04296	0.02311
A	HLA-Aw0-8-0-0-0-0-0-23-0-9-0-2-0-2-0-1-0	0.03819	0.03163
A	HLA-Aw0-8-0-0-0-0-0-26-0-9-0-2-0-2-0-1-0	0.01313	0.00365
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0
C	HLA-Cw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	0.03103	0.02433
C	HLA-Cw0-1-0-0-0-0-0-11-0-4-0-1-0-1-0-1-0	0.00119	0
C	HLA-Cw0-1-0-0-0-0-0-2-0-3-0-1-0-1-0-1-0	0.15274	0.15815
C	HLA-Cw0-1-0-0-0-0-0-2-0-4-0-1-0-1-0-1-0	0.12411	0.10341
C	HLA-Cw0-1-0-0-0-0-0-21-0-1-0-1-0-1-0-1-0	0.01193	0.00608
C	HLA-Cw0-1-0-0-0-0-0-24-0-10-0-1-0-1-0-1-0	0.03819	0.02676
C	HLA-Cw0-1-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.00955	0.00852
C	HLA-Cw0-4-0-0-0-0-0-23-0-3-0-1-0-1-0-1-0	0.00477	0.00122
C	HLA-Cw0-4-0-0-0-0-0-3-0-2-0-1-0-1-0-1-0	0.05131	0.04136
C	HLA-Cw0-4-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.02506	0.02068
C	HLA-Cw0-5-0-0-0-0-0-6-0-1-0-1-0-1-0-1-0	0.13604	0.09489
C	HLA-Cw0-5-0-0-0-0-0-6-0-2-0-1-0-1-0-1-0	0.00239	0.00122
C	HLA-Cw0-5-0-0-0-0-0-9-0-1-0-1-0-1-0-1-0	0.00119	0
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-0-0	0	0.00122
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-1-0	0.10859	0.09124
C	HLA-Cw0-7-0-0-0-0-0-15-0-7-0-1-0-3-0-1-0	0.28878	0.40024
C	HLA-Cw0-8-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.00477	0.00243
C	HLA-Cw0-9-0-0-0-0-0-25-0-11-0-1-0-1-0-1-0	0.00716	0.01825
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0.00122
B	HLA-Bw0-1-0-0-0-0-0-1-0-1-0-1-0-0-0	0.11337	0.20195
B	HLA-Bw0-1-0-0-0-0-0-1-0-2-0-1-0-0-0	0.00477	0.00122
B	HLA-Bw0-1-0-0-0-0-0-18-0-1-0-1-0-0-0	0.00119	0
B	HLA-Bw0-1-0-0-0-0-0-24-0-11-0-1-0-0-0	0	0.00122
B	HLA-Bw0-1-0-0-0-0-0-3-0-3-0-1-0-0-0	0.09308	0.12409
B	HLA-Bw0-1-0-0-0-0-0-6-0-5-0-1-0-0-0	0.08115	0.05839
B	HLA-Bw0-10-0-0-0-0-0-3-0-3-0-1-0-0-0	0.00716	0.01825
B	HLA-Bw0-10-0-0-0-0-0-7-0-6-0-1-0-0-0	0.03222	0.04015
B	HLA-Bw0-11-0-0-0-0-0-3-0-6-0-1-0-0-0	0.02387	0.02311
B	HLA-Bw0-12-0-0-0-0-0-20-0-10-0-1-0-0-0	0.03341	0.03771
B	HLA-Bw0-3-0-0-0-0-0-17-0-3-0-1-0-0-0	0.13007	0.08394
B	HLA-Bw0-3-0-0-0-0-0-3-0-4-0-1-0-0-0	0.03222	0.01703
B	HLA-Bw0-3-0-0-0-0-0-7-0-6-0-1-0-0-0	0.00358	0.00122
B	HLA-Bw0-4-0-0-0-0-0-7-0-6-0-1-0-0-0	0.06683	0.07299
B	HLA-Bw0-6-0-0-0-0-0-3-0-3-0-1-0-0-0	0.05609	0.04623
B	HLA-Bw0-6-0-0-0-0-0-3-0-9-0-1-0-0-0	0.00358	0.00365
B	HLA-Bw0-6-0-0-0-0-0-7-0-6-0-1-0-0-0	0.08473	0.10341
B	HLA-Bw0-8-0-0-0-0-0-13-0-6-0-1-0-0-0	0.17064	0.14599
B	HLA-Bw0-9-0-0-0-0-0-1-0-1-0-1-0-0-0	0.06086	0.01825
DRB1	HLA-DRB1w0-0-0-0-0-15-0-0-0-0-0-0-0	0	0.00122
DRB1	HLA-DRB1w0-1-0-0-0-12-0-1-0-1-0-1-0	0.12888	0.06934
DRB1	HLA-DRB1w0-1-0-0-0-47-0-2-0-1-0-1-0	0.02625	0.02311
DRB1	HLA-DRB1w0-3-0-0-0-1-0-2-0-4-0-1-0	0.00955	0.00852
DRB1	HLA-DRB1w0-3-0-0-0-15-0-2-0-2-0-1-0	0.09547	0.1472
DRB1	HLA-DRB1w0-3-0-0-0-2-0-2-0-2-0-1-0	0.23508	0.19343
DRB1	HLA-DRB1w0-3-0-0-0-2-0-5-0-1-0-1-0	0.03103	0.01825
DRB1	HLA-DRB1w0-3-0-0-0-2-0-5-0-3-0-1-0	0.00358	0.00365
DRB1	HLA-DRB1w0-3-0-0-0-3-0-2-0-2-0-1-0	0.01671	0.00973
DRB1	HLA-DRB1w0-3-0-0-0-46-0-2-0-2-0-1-0	0.02267	0.01095
DRB1	HLA-DRB1w0-5-0-0-0-20-0-1-0-1-0-1-0	0.17542	0.10706
DRB1	HLA-DRB1w0-6-0-0-0-4-0-2-0-1-0-1-0	0.00358	0.00487
DRB1	HLA-DRB1w0-6-0-0-0-4-0-4-0-1-0-1-0	0.13962	0.08516
DRB1	HLA-DRB1w0-9-0-0-0-47-0-2-0-1-0-1-0	0.11217	0.31752
DQB1	HLA-DQB1w0-1-0-0-0-1-0-1-0-1-0-1-0	0.09547	0.1472
DQB1	HLA-DQB1w0-1-0-0-0-3-0-1-0-1-0-1-0	0.10263	0.06326
DQB1	HLA-DQB1w0-2-0-0-0-12-0-2-0-1-0-1-0	0.22196	0.15207
DQB1	HLA-DQB1w0-2-0-0-0-39-0-2-0-1-0-1-0	0.00358	0
DQB1	HLA-DQB1w0-3-0-0-0-22-0-3-0-1-0-1-0	0.18138	0.12044
DQB1	HLA-DQB1w0-5-0-0-0-73-0-6-0-1-0-2-0	0.15871	0.08516
DQB1	HLA-DQB1w0-5-0-0-0-76-0-6-0-0-0-0-0	0.00239	0.00122
DQB1	HLA-DQB1w0-5-0-0-0-76-0-6-0-1-0-2-0	0.02745	0.02433
DQB1	HLA-DQB1w0-6-0-0-0-109-0-7-0-1-0-2-0	0.01074	0.01095
DQB1	HLA-DQB1w0-9-0-0-0-116-0-8-0-1-0-2-0	0.15632	0.3528
DQB1	HLA-DQB1w0-9-0-0-0-121-0-8-0-1-0-2-0	0.03938	0.04258
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0.00119	0
DPB1	HLA-DPB1w0-1-0-0-0-2-0-1-0-1-0	0.03819	0.0438
DPB1	HLA-DPB1w0-1-0-0-0-2-0-2-0-1-0	0.20286	0.20195
DPB1	HLA-DPB1w0-1-0-0-0-2-0-3-0-1-0	0.02864	0.03041
DPB1	HLA-DPB1w0-1-0-0-0-3-0-2-0-1-0	0.59189	0.60219
DPB1	HLA-DPB1w0-1-0-0-0-6-0-2-0-1-0	0.13365	0.11071
DPB1	HLA-DPB1w0-1-0-0-0-8-0-5-0-1-0	0.00358	0.00852
