Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00243
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.02625	0.01703
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	0.00358	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	0.00239	0.00122
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	0.14916	0.17883
A	HLA-Aw24-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.00119	0
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00122
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.13723	0.17518
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.06325	0.06204
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	0.10263	0.1326
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.06563	0.06569
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.08592	0.06204
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.02029	0.03893
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.05131	0.03528
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.01074	0.01825
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.28043	0.20803
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	0.00122
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06921	0.05474
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	0.00119	0
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	0.00477	0.00365
C	HLA-Cw239-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	0.00119	0
C	HLA-Cw243-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	0.00122
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.03103	0.02433
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.05489	0.04988
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.08115	0.04501
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.10859	0.09124
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.12411	0.10341
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.04893	0.05109
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.0358	0.02676
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	0.00239	0
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.10382	0.10706
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	0.15394	0.17762
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	0.12172	0.20803
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	0.01313	0.01217
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.01193	0.00608
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.02387	0.01946
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	0.00716	0.01825
C	HLA-Cw434-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	0.00119	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06921	0.03041
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-28	0.00358	0.00365
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-1	0.00119	0.00122
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.00477	0.00122
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-190	0.00119	0
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	0.11217	0.20073
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.09308	0.12409
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-157	0.01909	0.0073
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-166	0.00119	0
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-39	0.01074	0.00852
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-113	0.00119	0
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.03103	0.01703
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-117	0.01313	0.00852
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0.02983	0.02433
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	0.05847	0.05596
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-124	0.00119	0.00365
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-16	0.00119	0
B	HLA-Bw643-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00122
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-16	0.00477	0.0073
B	HLA-Bw648-0-0-0-0-0-0-0-0-0-0-0-0-0-111	0.00119	0
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	0.06444	0.07664
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-140	0.0358	0.02433
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-156	0.01909	0.02676
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-242	0.01313	0.01338
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-26	0.00119	0
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-28	0.00477	0.00852
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	0.07995	0.05596
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-186	0.04177	0.02676
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0.00358	0.00122
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-50	0.00597	0.00122
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-145	0.00835	0.00973
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-147	0.01671	0.01582
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-194	0.05609	0.04745
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-208	0	0.00122
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-211	0.00955	0.00852
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-221	0.00597	0.00365
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-30	0.06563	0.04988
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-4	0.00358	0.00365
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-61	0	0.00243
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.00239	0.00243
