Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	22	14
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	125	147
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	115	144
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	53	51
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	86	109
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	55	54
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	72	51
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	17	32
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	43	29
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	9	15
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	235	171
A	binned	6	5
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	58	45
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	26	20
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	46	41
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	68	37
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	91	75
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	104	85
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	41	42
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	30	22
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	87	88
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	129	146
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	102	171
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	11	10
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	10	5
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	20	16
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	6	15
C	binned	9	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	58	25
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	94	165
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	78	102
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-157	16	6
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-39	9	7
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-115	26	14
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-117	11	7
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-119	25	20
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	49	46
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	54	63
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-140	30	20
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-156	16	22
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-242	11	11
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-28	4	7
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	67	46
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-186	35	22
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-145	7	8
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-147	14	13
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-194	47	39
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-211	8	7
