Locus	X.square	df	p.value	sig
33:48	27.7455	5	4.0814e-05	*
33:56	18.0629	4	0.0011996	*
33:69	24.7004	7	0.00085737	*
33:91	33.3673	7	2.2614e-05	*
33:94	32.5737	5	4.5727e-06	*
33:101	17.1105	6	0.0088855	*
33:104	20.4566	6	0.0022958	*
33:119	22.7094	6	0.00089987	*
33:121	36.0123	9	3.9448e-05	*
33:140	33.5797	10	0.00021754	*
33:180	38.6804	6	8.2678e-07	*
33:187	37.3625	6	1.4963e-06	*
48:56	26.5187	3	7.4267e-06	*
48:69	28.6752	7	0.00016581	*
48:91	43.6204	10	3.8507e-06	*
48:94	35.1138	6	4.0961e-06	*
48:101	35.7924	8	1.9166e-05	*
48:104	36.6578	7	5.4451e-06	*
48:119	30.2895	8	0.00018786	*
48:121	43.2459	11	9.8411e-06	*
48:140	39.8725	10	1.7844e-05	*
48:180	39.0665	7	1.8982e-06	*
48:187	41.5628	7	6.3114e-07	*
56:69	21.1823	4	0.00029138	*
56:91	30.6222	6	2.9925e-05	*
56:94	28.6045	5	2.772e-05	*
56:101	22.7991	6	0.00086662	*
56:104	21.7107	5	0.00059422	*
56:119	29.5274	5	1.8269e-05	*
56:121	39.2666	8	4.3861e-06	*
56:140	33.6749	7	1.9813e-05	*
56:180	38.1952	6	1.0288e-06	*
56:187	30.5157	5	1.1673e-05	*
69:91	37.6757	8	8.6409e-06	*
69:94	28.6867	7	0.000165	*
69:101	29.5189	10	0.0010263	*
69:104	33.9819	11	0.00036416	*
69:119	29.9257	10	0.00088094	*
69:121	43.8727	12	1.6053e-05	*
69:140	44.2689	12	1.3742e-05	*
69:180	38.1396	9	1.6455e-05	*
69:187	38.7614	9	1.272e-05	*
91:94	25.1429	5	0.00013076	*
91:101	35.7173	10	9.4128e-05	*
91:104	30.4309	9	0.00037046	*
91:119	35.8417	11	0.0001798	*
91:121	38.1789	14	0.00048789	*
91:140	42.8347	13	4.7791e-05	*
91:180	34.4689	9	7.39e-05	*
91:187	50.8209	10	1.8845e-07	*
94:101	34.6637	6	5.0066e-06	*
94:104	30.7265	6	2.8586e-05	*
94:119	27.9935	7	0.00022049	*
94:121	35.7387	9	4.4111e-05	*
94:140	29.2593	9	0.00058589	*
94:180	30.8744	7	6.558e-05	*
94:187	43.2914	7	2.9301e-07	*
101:104	18.0439	4	0.0012099	*
101:119	20.3435	8	0.0091116	*
101:121	42.217	9	2.9996e-06	*
101:140	28.7065	11	0.0025204	*
101:180	40.4342	8	2.6589e-06	*
101:187	21.8667	8	0.0051689	*
104:119	20.0353	8	0.010203	*
104:121	38.7755	10	2.7793e-05	*
104:140	34.293	12	0.00060636	*
104:180	39.9079	7	1.3109e-06	*
104:187	25.9139	8	0.0010865	*
119:121	37.0831	7	4.5237e-06	*
119:140	22.8301	11	0.018676	*
119:180	37.4127	8	9.6618e-06	*
119:187	12.8189	8	0.11823	NS
121:140	46.6024	12	5.4616e-06	*
121:180	35.8831	11	0.00017698	*
121:187	50.5499	11	4.984e-07	*
140:180	41.7679	11	1.7766e-05	*
140:187	24.1649	12	0.019315	*
180:187	47.321	7	4.8324e-08	*
