Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	0.0061	0
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00224
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.4878	0.47758
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	0.14634	0.15919
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.06098	0.05605
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	0.10976	0.11659
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.06707	0.06726
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	0.0061	0
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.06707	0.06054
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.02439	0.03812
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.02439	0.02242
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.05488	0.05605
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.04878	0.06726
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.02439	0.03139
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.07927	0.04484
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.03659	0.04036
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.0061	0.00224
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.02439	0.01794
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	0	0.00897
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	0.0061	0.00224
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	0.00224
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.0122	0.02018
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.09146	0.06726
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	0.0061	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.08537	0.08744
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.04268	0.08072
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	0.14024	0.1435
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	0.32927	0.31614
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	0.0122	0.01121
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04268	0.02018
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1	0.0061	0.00224
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.0061	0.00224
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.09146	0.08969
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-113	0.0061	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.0061	0.00673
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-117	0.0122	0.01121
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0	0.0157
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-120	0.04268	0.04484
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00224
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-124	0	0.00448
