Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.02439	0.02242
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	0.0061	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	0.0061	0
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	0.14634	0.15919
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00224
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.21341	0.22197
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.06098	0.05605
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	0.10976	0.11659
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.06707	0.06726
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.06707	0.06054
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.0061	0.02242
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.02439	0.03812
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0	0.01121
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.26829	0.22197
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.05488	0.05605
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	0.0061	0.00224
C	HLA-Cw243-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	0.00224
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.0122	0.02018
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.07927	0.04484
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.03659	0.04036
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.09146	0.06726
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.08537	0.08744
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.04878	0.06726
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.02439	0.03139
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.04268	0.08072
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	0.14024	0.1435
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	0.32927	0.31614
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	0.0122	0.01121
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.0061	0.00224
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.02439	0.01794
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	0	0.00897
C	HLA-Cw434-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	0.0061	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04268	0.02018
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-1	0.0061	0.00224
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.0061	0.00224
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	0.31707	0.31614
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.09146	0.08969
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-157	0.0122	0.00897
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-39	0	0.00673
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-113	0.0061	0
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.0061	0.00673
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-117	0.0122	0.01121
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0	0.0157
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	0.04268	0.04484
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-124	0	0.00448
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-16	0.0061	0
B	HLA-Bw643-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00224
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-16	0.0061	0.00224
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	0.04878	0.08744
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-140	0.04268	0.02018
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-156	0	0.02018
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-242	0.03049	0.02018
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-26	0.0061	0
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-28	0	0.00448
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	0.09146	0.05605
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-186	0.02439	0.03139
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-50	0.0061	0.00224
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-145	0.0061	0.00224
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-147	0.0122	0.01794
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-194	0.03659	0.04709
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-211	0	0.00673
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-221	0.0061	0.00224
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-30	0.05488	0.03812
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-61	0	0.00448
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-192	0.01829	0.02242
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-243	0	0.00897
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-58	0	0.00224
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-6	0	0.00673
B	HLA-Bw683-0-0-0-0-0-0-0-0-0-0-0-0-0-246	0.03049	0.02018
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-219	0.02439	0.03587
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.0061	0.00448
B	HLA-Bw811-0-0-0-0-0-0-0-0-0-0-0-0-0-158	0	0.00224
B	HLA-Bw823-0-0-0-0-0-0-0-0-0-0-0-0-0-220	0	0.00224
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.03049	0.03587
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-1	0.05488	0.02691
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-3	0.0061	0.01121
DRB1	HLA-DRB1w10-0-0-0-0-0-0-0-0-0-0-0-10	0	0.00448
DRB1	HLA-DRB1w11-0-0-0-0-0-0-0-0-0-0-0-11	0.0061	0.00224
DRB1	HLA-DRB1w13-0-0-0-0-0-0-0-0-0-0-0-14	0	0.00224
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-0	0.03049	0.00673
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-17	0.0122	0
DRB1	HLA-DRB1w16-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00673
DRB1	HLA-DRB1w17-0-0-0-0-0-0-0-0-0-0-0-16	0.04268	0.02018
DRB1	HLA-DRB1w19-0-0-0-0-0-0-0-0-0-0-0-16	0.0122	0.0157
DRB1	HLA-DRB1w2-0-0-0-0-0-0-0-0-0-0-0-2	0	0.00224
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-18	0.52439	0.56726
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-20	0.0061	0.0157
DRB1	HLA-DRB1w24-0-0-0-0-0-0-0-0-0-0-0-19	0.0061	0
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-22	0.0061	0.02691
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-13	0.04878	0.03812
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-4	0.04878	0.08969
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-23	0.0122	0.00897
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-5	0.06707	0.03363
DRB1	HLA-DRB1w6-0-0-0-0-0-0-0-0-0-0-0-6	0.0061	0.00448
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-7	0.07927	0.07623
DRB1	HLA-DRB1w9-0-0-0-0-0-0-0-0-0-0-0-9	0	0.00448
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00224
