Locus	X.square	df	p.value	sig
33:48:91:101:140:180	65.2232	23	6.4918e-06	*
33:48:91:101:140:187	65.1494	21	2.0599e-06	*
33:48:91:101:180:187	66.2526	21	1.3833e-06	*
33:48:101:140:180:187	65.1018	22	3.8108e-06	*
33:69:101:104:140:180	65.9714	23	5.0098e-06	*
33:69:101:104:140:187	64.9866	21	2.1841e-06	*
33:69:101:104:180:187	67.1223	20	5.3345e-07	*
33:91:101:140:180:187	65.741	23	5.4268e-06	*
48:91:101:140:180:187	65.3728	23	6.1647e-06	*
56:91:101:140:180:187	65.741	23	5.4268e-06	*
69:91:101:140:180:187	65.6141	23	5.6707e-06	*
