Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00243
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	0.00239	0.00122
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	0.00122
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.44988	0.44039
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	0.00122
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	0.14916	0.17883
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.06325	0.06204
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	0.10263	0.1326
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.06563	0.06569
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	0.00358	0
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.08592	0.06204
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.05131	0.03528
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.02625	0.01703
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06921	0.05474
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.04893	0.05109
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	0.00119	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.0358	0.02676
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	0.00239	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.05489	0.04988
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.08115	0.04501
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.01193	0.00608
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.02387	0.01946
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	0.00716	0.01825
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	0.00119	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	0.00477	0.00365
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	0.00122
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.03103	0.02433
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.10859	0.09124
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	0.00119	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.12411	0.10341
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.10382	0.10706
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	0.15394	0.17762
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	0.12172	0.20803
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	0.01313	0.01217
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06921	0.03041
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1	0.00119	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.00477	0.00122
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.09308	0.12409
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-111	0.00119	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-113	0.00119	0
