Locus	X.square	df	p.value	sig
33:86:138	34.3148	12	0.00060157	*
33:86:140	31.8889	10	0.00041787	*
33:86:176	36.5037	14	0.00087668	*
33:119:121	33.8584	10	0.00019518	*
33:119:138	34.7798	11	0.00026939	*
33:119:140	32.8124	8	6.6569e-05	*
33:119:176	35.5104	12	0.0003882	*
33:121:123	30.4215	9	0.00037183	*
33:121:138	32.7698	11	0.0005733	*
33:121:140	32.3599	10	0.00034871	*
33:121:176	35.6113	12	0.00037403	*
33:123:138	29.7337	10	0.00094689	*
33:123:140	27.7663	7	0.0002424	*
33:123:176	33.0172	10	0.00027058	*
33:138:176	35.5904	13	0.00068668	*
33:138:180	28.9464	13	0.0066614	*
33:140:176	34.5007	12	0.00056216	*
33:140:180	28.0254	10	0.0017884	*
33:176:180	30.2659	11	0.0014391	*
86:138:176	37.0376	12	0.00022029	*
86:138:180	30.8028	14	0.0059068	*
86:140:176	36.0978	11	0.00016301	*
86:140:180	25.6913	12	0.011866	*
86:176:180	31.8309	14	0.0042337	*
87:119:121	29.375	8	0.00027245	*
87:119:138	30.5202	9	0.00035767	*
87:119:140	26.3053	7	0.00044415	*
87:119:176	27.7122	10	0.002007	*
87:121:123	29.5877	7	0.000113	*
87:121:138	32.295	9	0.00017705	*
87:121:140	32.2917	8	8.2577e-05	*
87:121:176	34.0203	10	0.00018324	*
87:138:176	27.4624	11	0.0039105	*
87:138:180	28.603	13	0.007449	*
87:140:176	26.5225	10	0.0030975	*
87:140:180	23.4915	11	0.015056	*
87:176:180	31.1979	12	0.0018376	*
100:119:121	44.7774	12	1.125e-05	*
100:119:138	28.3944	10	0.0015605	*
100:119:140	23.175	8	0.0031466	*
100:119:176	34.5155	12	0.00055912	*
100:121:123	36.3161	10	7.427e-05	*
100:121:138	40.5981	12	5.7188e-05	*
100:121:140	40.5511	11	2.8785e-05	*
100:121:176	38.1725	11	7.316e-05	*
100:138:176	38.433	13	0.00024614	*
100:138:180	36.368	15	0.0015639	*
100:140:176	38.6284	12	0.00012114	*
100:140:180	28.916	14	0.010727	*
100:176:180	34.8774	12	0.00048983	*
119:121:123	28.3597	6	8.0382e-05	*
119:121:138	32.7896	8	6.7202e-05	*
119:121:140	31.6114	7	4.7936e-05	*
119:121:176	37.4775	10	4.6777e-05	*
119:138:176	34.7535	10	0.00013755	*
119:138:180	24.2314	12	0.018916	*
119:140:176	32.3836	8	7.9498e-05	*
119:140:180	24.3466	10	0.0067316	*
119:176:180	30.7694	12	0.0021359	*
121:123:138	29.6202	7	0.00011146	*
121:123:140	28.442	6	7.7557e-05	*
121:123:176	31.5857	8	0.00011047	*
121:138:176	34.7374	9	6.6283e-05	*
121:138:180	29.7599	12	0.0030343	*
121:140:176	33.5592	8	4.8818e-05	*
121:140:180	28.473	11	0.0027385	*
121:176:180	28.5156	11	0.0026975	*
123:138:176	30.4862	9	0.0003625	*
123:138:180	21.4051	11	0.029409	*
123:140:176	28.1163	7	0.00020947	*
123:140:180	19.463	9	0.021532	*
123:176:180	29.7343	10	0.00094669	*
138:176:180	30.0441	12	0.00275	*
140:176:180	28.7572	11	0.0024753	*
