Locus	X.square	df	p.value	sig
33:48:91:101:140	54.1286	20	5.5361e-05	*
33:48:91:101:180	57.3216	18	5.502e-06	*
33:48:91:101:187	66.0182	19	4.1675e-07	*
33:48:94:180:187	60.0926	17	1.0145e-06	*
33:48:101:140:180	64.9471	22	4.0243e-06	*
33:48:101:140:187	64.003	19	8.8583e-07	*
33:48:101:180:187	64.9912	19	6.1259e-07	*
33:48:104:140:180	64.6673	22	4.4407e-06	*
33:48:104:140:187	64.003	19	8.8583e-07	*
33:48:104:180:187	63.4458	19	1.0897e-06	*
33:48:140:180:187	58.483	18	3.5896e-06	*
33:69:101:104:140	54.0872	20	5.6151e-05	*
33:69:101:104:180	58.1929	17	2.0817e-06	*
33:69:101:104:187	66.1501	18	2.0019e-07	*
33:69:101:140:180	65.9714	23	5.0098e-06	*
33:69:101:140:187	64.9866	21	2.1841e-06	*
33:69:101:180:187	67.1223	20	5.3345e-07	*
33:69:104:140:180	65.6983	23	5.5077e-06	*
33:69:104:140:187	64.9866	21	2.1841e-06	*
33:69:104:180:187	67.1223	20	5.3345e-07	*
33:69:140:180:187	61.035	19	2.6515e-06	*
33:91:101:140:180	65.5679	23	5.7622e-06	*
33:91:101:140:187	66.3373	21	1.3415e-06	*
33:91:101:180:187	65.9762	20	8.1501e-07	*
33:91:119:140:180	59.5495	22	2.6049e-05	*
33:91:119:140:187	59.4543	20	8.6475e-06	*
33:91:140:180:187	60.3349	20	6.3197e-06	*
33:94:119:140:180	59.3016	21	1.6282e-05	*
33:94:119:140:187	59.9414	19	3.9533e-06	*
33:94:140:180:187	59.5451	19	4.5661e-06	*
33:101:140:180:187	63.5391	22	6.5931e-06	*
48:91:101:140:180	64.6876	22	4.409e-06	*
48:91:101:140:187	65.1494	21	2.0599e-06	*
48:91:101:180:187	65.8988	20	8.3862e-07	*
48:101:140:180:187	64.8227	22	4.2044e-06	*
56:91:101:121:140	63.4195	22	6.8739e-06	*
56:91:101:121:187	69.9853	22	6.6498e-07	*
56:91:101:140:180	65.9748	23	5.004e-06	*
56:91:101:140:187	65.4445	21	1.8522e-06	*
56:91:101:180:187	66.2723	20	7.3066e-07	*
56:91:140:180:187	60.3349	20	6.3197e-06	*
56:94:119:121:140	62.3498	18	8.4882e-07	*
56:94:119:121:187	60.2663	18	1.8529e-06	*
56:94:119:140:180	59.3996	21	1.5738e-05	*
56:94:119:140:187	59.2158	19	5.1458e-06	*
56:94:119:180:187	55.6104	18	1.0267e-05	*
56:94:121:140:187	60.3436	19	3.4141e-06	*
56:94:140:180:187	59.5451	19	4.5661e-06	*
69:91:101:121:140	63.5672	23	1.1468e-05	*
69:91:101:121:187	70.3807	22	5.7615e-07	*
69:91:101:140:180	65.5213	23	5.8558e-06	*
69:91:101:140:187	65.3605	21	1.9092e-06	*
69:91:101:180:187	66.1031	20	7.7774e-07	*
69:91:140:180:187	60.4959	20	5.9666e-06	*
69:94:119:121:140	63.4317	19	1.0954e-06	*
69:94:119:121:187	64.5039	19	7.3494e-07	*
69:94:119:140:180	59.8128	21	1.3632e-05	*
69:94:119:140:187	59.6976	19	4.3201e-06	*
69:94:119:180:187	59.8632	19	4.0674e-06	*
69:94:140:180:187	60.4748	19	3.2545e-06	*
69:101:104:140:180	63.3371	22	7.0743e-06	*
69:101:104:140:187	64.9866	21	2.1841e-06	*
69:101:104:180:187	67.1223	20	5.3345e-07	*
69:101:121:140:180	67.6687	25	8.4895e-06	*
69:101:121:140:187	69.2825	24	2.8066e-06	*
69:101:121:180:187	71.5216	23	7.0643e-07	*
69:101:140:180:187	66.1479	23	4.7119e-06	*
69:104:121:140:180	67.4777	25	9.0534e-06	*
69:104:121:140:187	69.2825	24	2.8066e-06	*
69:104:121:180:187	71.8754	24	1.1328e-06	*
91:101:121:140:180	70.5018	26	5.6058e-06	*
91:101:121:140:187	69.8944	24	2.2685e-06	*
91:101:140:180:187	66.4931	23	4.1787e-06	*
94:119:121:140:180	63.799	22	6.0207e-06	*
94:119:121:140:187	64.3021	20	1.5069e-06	*
