Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.96	0.79	1.17	0.69725	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	1	0.67	1.51	0.996	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.7	0.47	1.04	0.063339	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.68	0.4	1.12	0.10886	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.64	0.3	1.32	0.19718	NS
A	binned	1.02	0.23	4.45	0.97561	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.19	0.22183	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	1.05	0.66	1.67	0.83936	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.74	0.4	1.34	0.29068	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.9	0.57	1.43	0.6467	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.53	0.34	0.82	0.0024957	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.81	0.39	1.66	0.53817	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.81	0.59	1.12	0.18436	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	1.03	0.75	1.43	0.82997	NS
