Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-1-0-1-0-0-0-0-0-0-0-0-0-0-0	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw0-0-0-20-0-32-0-0-0-0-0-0-0-0-0-0-0	1.31	1	1.74	0.044937	*
A	HLA-Aw0-0-0-24-0-38-0-0-0-0-0-0-0-0-0-0-0	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw0-0-0-30-0-46-0-0-0-0-0-0-0-0-0-0-0	1.37	0.6	3.19	0.41572	NS
A	HLA-Aw0-0-0-30-0-48-0-0-0-0-0-0-0-0-0-0-0	1.29	0.92	1.8	0.12723	NS
A	HLA-Aw0-0-0-40-0-56-0-0-0-0-0-0-0-0-0-0-0	1.32	0.71	2.48	0.34383	NS
A	HLA-Aw0-0-0-41-0-56-0-0-0-0-0-0-0-0-0-0-0	0.65	0.35	1.19	0.135	NS
A	HLA-Aw0-0-0-45-0-65-0-0-0-0-0-0-0-0-0-0-0	0.62	0.33	1.14	0.098112	NS
A	HLA-Aw0-0-0-47-0-69-0-0-0-0-0-0-0-0-0-0-0	1.02	0.42	2.5	0.96206	NS
A	HLA-Aw0-0-0-49-0-70-0-0-0-0-0-0-0-0-0-0-0	3.31	1.15	11.59	0.013882	*
A	HLA-Aw0-0-0-5-0-9-0-0-0-0-0-0-0-0-0-0-0	0.69	0.55	0.88	0.0016496	*
A	HLA-Aw0-0-0-52-0-72-0-0-0-0-0-0-0-0-0-0-0	0.71	0.38	1.29	0.2262	NS
A	HLA-Aw0-0-0-57-0-28-0-0-0-0-0-0-0-0-0-0-0	0.87	0.52	1.47	0.5871	NS
A	HLA-Aw0-0-0-59-0-75-0-0-0-0-0-0-0-0-0-0-0	0.28	0.05	1.05	0.034769	*
A	HLA-Aw0-0-0-65-0-81-0-0-0-0-0-0-0-0-0-0-0	0.64	0.3	1.32	0.19718	NS
A	HLA-Aw0-0-0-67-0-82-0-0-0-0-0-0-0-0-0-0-0	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw0-0-0-9-0-10-0-0-0-0-0-0-0-0-0-0-0	0.4	0.09	1.41	0.11543	NS
A	binned	1.58	0.85	3	0.12539	NS
C	HLA-Cw0-0-0-1-0-1-0-0-0-0-0-0-0-0-0-0-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-0-0-103-0-144-0-0-0-0-0-0-0-0-0-0-0	2.58	0.94	8.15	0.043275	*
