Locus	X.square	df	p.value	sig
33:48:91	44.2877	11	6.4711e-06	*
33:48:94	43.4908	9	1.7514e-06	*
33:48:101	38.1614	11	7.3476e-05	*
33:48:104	37.3965	10	4.8316e-05	*
33:48:121	48.6449	14	1.0276e-05	*
33:48:140	46.3107	14	2.4941e-05	*
33:48:180	50.4311	11	5.2357e-07	*
33:48:187	55.0997	11	7.4309e-08	*
33:56:91	40.2528	10	1.5293e-05	*
33:56:94	39.4587	8	4.04e-06	*
33:56:121	44.4906	11	5.9621e-06	*
33:56:180	48.0224	10	6.1485e-07	*
33:56:187	44.4578	9	1.1621e-06	*
33:69:91	39.2517	11	4.8002e-05	*
33:69:94	39.0113	10	2.5273e-05	*
33:69:101	35.717	13	0.0006564	*
33:69:104	40.2029	14	0.00023718	*
33:69:121	48.9651	15	1.775e-05	*
33:69:140	47.3662	15	3.2162e-05	*
33:69:180	48.2098	13	6.0275e-06	*
33:69:187	60.3295	13	4.5865e-08	*
33:91:101	44.5298	13	2.5062e-05	*
33:91:119	45.1278	15	7.3096e-05	*
33:91:121	39.2795	15	0.00058203	*
33:91:140	49.2992	17	5.423e-05	*
33:91:180	44.8439	12	1.0959e-05	*
33:91:187	54.5847	12	2.1481e-07	*
33:94:119	41.5435	11	1.9425e-05	*
33:94:121	37.4854	11	9.5521e-05	*
33:94:140	47.4235	14	1.6369e-05	*
33:94:180	43.8289	10	3.5329e-06	*
33:94:187	55.0792	11	7.4953e-08	*
33:101:104	21.0356	7	0.0037178	*
33:101:121	43.6834	13	3.4626e-05	*
33:101:140	52.4109	16	9.401e-06	*
33:101:180	42.4416	11	1.358e-05	*
33:101:187	59.7076	13	5.9254e-08	*
33:104:121	45.5464	15	6.2757e-05	*
33:104:140	51.8714	16	1.149e-05	*
33:104:180	45.3923	12	8.826e-06	*
33:104:187	60.0217	14	1.163e-07	*
33:119:121	43.8982	12	1.5893e-05	*
33:119:140	50.8505	17	3.1137e-05	*
33:119:180	44.2025	12	1.4105e-05	*
33:121:140	54.3051	17	8.8547e-06	*
33:121:180	43.6261	14	6.7994e-05	*
33:121:187	61.9116	15	1.1799e-07	*
33:140:180	54.8121	16	3.8179e-06	*
33:140:187	56.9749	15	8.2875e-07	*
33:180:187	53.6704	12	3.129e-07	*
48:91:101	48.5454	15	2.076e-05	*
48:91:119	49.0452	16	3.2502e-05	*
48:91:121	49.9137	17	4.3563e-05	*
48:91:140	46.2794	16	8.8135e-05	*
48:91:180	45.4854	13	1.7363e-05	*
48:91:187	52.9387	12	4.224e-07	*
48:94:119	41.5948	13	7.6264e-05	*
48:94:121	46.2472	14	2.5545e-05	*
48:94:140	42.4908	13	5.4429e-05	*
48:94:180	41.0004	10	1.1282e-05	*
48:94:187	45.3312	9	8.0122e-07	*
48:101:104	37.9973	9	1.7451e-05	*
48:101:121	51.9961	16	1.097e-05	*
48:101:140	48.7427	16	3.6285e-05	*
48:101:180	52.0527	13	1.3198e-06	*
48:101:187	57.4822	13	1.4747e-07	*
48:104:121	52.9347	17	1.4632e-05	*
48:104:140	51.2445	16	1.4495e-05	*
48:104:180	53.7606	13	6.6595e-07	*
48:104:187	59.0327	13	7.8186e-08	*
48:121:140	55.521	17	5.6502e-06	*
48:121:180	46.9815	16	6.8555e-05	*
48:121:187	53.733	15	2.9109e-06	*
48:140:180	51.6453	16	1.2496e-05	*
48:140:187	54.4068	14	1.0944e-06	*
48:180:187	48.5997	10	4.8222e-07	*
56:91:101	41.6678	12	3.7874e-05	*
56:91:119	51.5258	15	6.7643e-06	*
56:91:121	47.7425	15	2.798e-05	*
56:91:140	47.1415	15	3.4947e-05	*
56:91:180	40.619	12	5.6731e-05	*
56:91:187	54.1579	13	5.6757e-07	*
56:94:119	41.8295	10	8.0408e-06	*
56:94:121	41.9813	11	1.6318e-05	*
56:94:140	41.6369	11	1.8716e-05	*
56:94:180	38.8111	9	1.246e-05	*
56:94:187	46.4634	10	1.1819e-06	*
56:121:140	51.9503	14	2.867e-06	*
56:121:180	44.5369	13	2.4995e-05	*
56:121:187	52.1687	14	2.633e-06	*
56:180:187	49.1111	10	3.8867e-07	*
69:91:101	42.7965	15	0.00016932	*
69:91:119	52.4057	16	9.4192e-06	*
69:91:121	50.1493	17	4.0044e-05	*
69:91:140	49.4	17	5.232e-05	*
69:91:180	45.0132	12	1.0252e-05	*
69:91:187	53.273	14	1.7094e-06	*
69:94:119	43.4818	14	7.172e-05	*
69:94:121	46.2181	15	4.9087e-05	*
69:94:140	46.6234	14	2.2165e-05	*
69:94:180	42.9587	12	2.2946e-05	*
69:94:187	46.6836	12	5.2879e-06	*
69:101:104	34.1751	12	0.00063296	*
69:101:121	50.3395	17	3.7407e-05	*
69:101:140	50.0947	18	7.3034e-05	*
69:101:180	48.0878	14	1.2713e-05	*
69:101:187	61.8536	16	2.5423e-07	*
69:104:121	50.3377	18	6.7099e-05	*
69:104:140	49.5111	18	8.9458e-05	*
69:104:180	52.5852	16	8.8094e-06	*
69:104:187	62.5397	17	3.9795e-07	*
69:121:140	56.7933	17	3.5187e-06	*
69:121:180	49.4674	17	5.108e-05	*
69:121:187	58.7438	16	8.508e-07	*
69:140:180	54.5267	18	1.5186e-05	*
69:140:187	59.3555	16	6.718e-07	*
69:180:187	57.1987	15	7.5935e-07	*
91:101:104	37.0289	11	0.00011396	*
91:101:121	47.3393	17	0.00010828	*
91:101:140	55.3289	17	6.0671e-06	*
91:101:180	46.7944	15	3.9718e-05	*
91:101:187	62.4683	15	9.4467e-08	*
91:119:121	41.9806	15	0.00022631	*
91:119:140	48.8678	17	6.3203e-05	*
91:119:180	41.4855	15	0.00026957	*
91:121:140	61.0788	20	4.8424e-06	*
91:121:180	39.5056	17	0.0015189	*
91:121:187	58.7348	18	3.271e-06	*
91:140:180	51.9218	18	3.8464e-05	*
91:140:187	61.7339	18	1.0701e-06	*
