Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.59	0.19	1.57	0.26383	NS
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.44	1.02	2.02	0.030057	*
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.09	0.63	1.85	0.73726	NS
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	1.07	2.36	0.014996	*
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.56	1.67	0.92696	NS
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.69	0.4	1.14	0.12869	NS
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2.56	1.26	5.27	0.0038227	*
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2.02	0.73	5.67	0.12273	NS
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.61	0.44	0.83	0.001396	*
A	binned	0.45	0.01	4.54	0.45984	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.72	0.4	1.25	0.22126	NS
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.73	0.48	1.09	0.10864	NS
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.71	1.61	0.73631	NS
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.9	0.6	1.34	0.60462	NS
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.9	0.64	1.24	0.49386	NS
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.43	1.07	1.92	0.013193	*
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0.26	3.34	0.99403	NS
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.89	0.33	2.24	0.79798	NS
